timestamp,station_id,ambient_temp_c,wind_speed_ms,weather_anomaly_flag,comms_status,power_draw_kw,generator_load_pct,battery_soc_pct,battery_state,fuel_tank_level_l,fuel_tank_pct,fuel_burn_rate_lph,fuel_burn_rate_lph_avg24h,days_of_autonomy,hvac_status,heater_status,resupply_window_days_remaining,resupply_recommendation,active_anomalies,_delivered_live
2026-01-01T00:00:00,maitri,-3.81,9.28,False,online,48.74,13.0,78.0,idle,163998.9,82.0,13.65,13.65,500.7,on,on,334,On track — no action needed,none,True
2026-01-01T00:05:00,maitri,-3.99,11.75,False,online,49.58,13.2,78.0,idle,163997.7,82.0,13.88,13.77,496.4,on,on,334,On track — no action needed,none,True
2026-01-01T00:10:00,maitri,-4.08,11.95,False,online,50.53,13.5,78.3,charging,163996.5,82.0,14.15,13.89,491.8,on,on,334,On track — no action needed,none,True
2026-01-01T00:15:00,maitri,-3.5,3.43,False,online,48.06,12.8,78.3,idle,163995.4,82.0,13.46,13.78,495.7,on,on,334,On track — no action needed,none,True
2026-01-01T00:20:00,maitri,-3.23,5.12,False,online,47.33,12.6,78.2,idle,163994.3,82.0,13.25,13.68,499.6,on,on,334,On track — no action needed,none,True
2026-01-01T00:25:00,maitri,-3.66,10.48,False,online,45.74,12.2,78.5,charging,163993.2,82.0,12.81,13.53,504.9,on,on,334,On track — no action needed,none,True
2026-01-01T00:30:00,maitri,-4.62,3.8,False,online,49.82,13.3,78.6,charging,163992.1,82.0,13.95,13.59,502.7,on,on,334,On track — no action needed,none,True
2026-01-01T00:35:00,maitri,-4.08,5.38,False,online,44.5,11.9,78.8,charging,163991.0,82.0,12.46,13.45,508.0,on,on,334,On track — no action needed,none,True
2026-01-01T00:40:00,maitri,-3.47,13.28,False,online,50.65,13.5,78.8,idle,163989.9,81.99,14.18,13.53,505.0,on,on,334,On track — no action needed,none,True
2026-01-01T00:45:00,maitri,-2.82,5.48,False,online,48.59,13.0,79.0,charging,163988.7,81.99,13.61,13.54,504.7,on,on,334,On track — no action needed,none,True
2026-01-01T00:50:00,maitri,-2.17,2.45,False,online,46.03,12.3,78.9,discharging,163987.6,81.99,12.89,13.48,506.9,on,on,334,On track — no action needed,none,True
2026-01-01T00:55:00,maitri,-2.56,7.46,False,online,46.08,12.3,79.1,charging,163986.6,81.99,12.9,13.43,508.7,on,on,334,On track — no action needed,none,True
2026-01-01T01:00:00,maitri,-3.17,10.63,False,online,44.56,11.9,79.1,idle,163985.5,81.99,12.48,13.36,511.5,on,on,334,On track — no action needed,none,True
2026-01-01T01:05:00,maitri,-4.03,8.97,False,online,47.57,12.7,79.2,charging,163984.4,81.99,13.32,13.36,511.6,on,on,334,On track — no action needed,none,True
2026-01-01T01:10:00,maitri,-4.44,8.07,False,online,44.08,11.8,79.4,charging,163983.4,81.99,12.34,13.29,514.2,on,on,334,On track — no action needed,none,True
2026-01-01T01:15:00,maitri,-4.39,12.77,False,online,51.36,13.7,79.6,charging,163982.2,81.99,14.38,13.36,511.6,on,on,334,On track — no action needed,none,True
2026-01-01T01:20:00,maitri,-5.61,16.9,False,online,48.74,13.0,79.8,charging,163981.1,81.99,13.65,13.37,510.9,on,on,334,On track — no action needed,none,True
2026-01-01T01:25:00,maitri,-5.26,9.15,False,online,48.69,13.0,79.9,charging,163979.9,81.99,13.63,13.39,510.3,on,on,334,On track — no action needed,none,True
2026-01-01T01:30:00,maitri,-5.33,3.52,False,online,50.26,13.4,79.9,idle,163978.7,81.99,14.07,13.42,509.0,on,on,334,On track — no action needed,none,True
2026-01-01T01:35:00,maitri,-5.1,13.16,False,online,45.37,12.1,80.1,charging,163977.7,81.99,12.7,13.39,510.3,on,on,334,On track — no action needed,none,True
2026-01-01T01:40:00,maitri,-5.39,12.55,False,online,47.38,12.6,80.1,idle,163976.6,81.99,13.27,13.38,510.6,on,on,334,On track — no action needed,none,True
2026-01-01T01:45:00,maitri,-5.23,6.27,False,online,50.66,13.5,80.1,idle,163975.4,81.99,14.18,13.42,509.2,on,on,334,On track — no action needed,none,True
2026-01-01T01:50:00,maitri,-5.0,10.4,False,online,48.02,12.8,80.0,discharging,163974.3,81.99,13.44,13.42,509.1,on,on,334,On track — no action needed,none,True
2026-01-01T01:55:00,maitri,-4.82,9.18,False,online,48.48,12.9,80.2,charging,163973.1,81.99,13.57,13.43,508.9,on,on,334,On track — no action needed,none,True
2026-01-01T02:00:00,maitri,-4.61,8.02,False,online,50.48,13.5,80.2,idle,163972.0,81.99,14.14,13.45,507.8,on,on,334,On track — no action needed,none,True
2026-01-01T02:05:00,maitri,-4.55,11.14,False,online,46.55,12.4,80.0,discharging,163970.9,81.99,13.03,13.44,508.4,on,on,334,On track — no action needed,none,True
2026-01-01T02:10:00,maitri,-4.25,4.77,False,online,49.79,13.3,80.1,charging,163969.7,81.98,13.94,13.46,507.7,on,on,334,On track — no action needed,none,True
2026-01-01T02:15:00,maitri,-4.93,6.51,False,online,48.57,13.0,80.0,discharging,163968.6,81.98,13.6,13.46,507.5,on,on,334,On track — no action needed,none,True
2026-01-01T02:20:00,maitri,-5.72,10.26,False,online,52.74,14.1,80.0,idle,163967.4,81.98,14.77,13.51,505.8,on,on,334,On track — no action needed,none,True
2026-01-01T02:25:00,maitri,-5.86,2.5,False,online,53.21,14.2,80.4,charging,163966.1,81.98,14.9,13.55,504.1,on,on,334,On track — no action needed,none,True
2026-01-01T02:30:00,maitri,-4.99,7.84,False,online,47.62,12.7,80.4,idle,163965.0,81.98,13.33,13.55,504.3,on,on,334,On track — no action needed,none,True
2026-01-01T02:35:00,maitri,-5.31,6.62,False,online,44.89,12.0,80.4,idle,163964.0,81.98,12.57,13.52,505.5,on,on,334,On track — no action needed,none,True
2026-01-01T02:40:00,maitri,-4.43,8.51,False,online,48.99,13.1,80.7,charging,163962.8,81.98,13.72,13.52,505.2,on,on,334,On track — no action needed,none,True
2026-01-01T02:45:00,maitri,-4.17,3.82,False,online,48.43,12.9,80.6,discharging,163961.7,81.98,13.56,13.52,505.2,on,on,334,On track — no action needed,none,True
2026-01-01T02:50:00,maitri,-4.28,6.12,False,online,48.92,13.0,80.6,idle,163960.5,81.98,13.7,13.53,505.0,on,on,334,On track — no action needed,none,True
2026-01-01T02:55:00,maitri,-4.11,0.0,False,online,47.56,12.7,80.6,idle,163959.4,81.98,13.32,13.52,505.2,on,on,334,On track — no action needed,none,True
2026-01-01T03:00:00,maitri,-4.52,5.83,False,online,52.11,13.9,81.0,charging,163958.2,81.98,14.59,13.55,504.1,on,on,334,On track — no action needed,none,True
2026-01-01T03:05:00,maitri,-3.2,6.91,False,online,49.52,13.2,81.2,charging,163957.1,81.98,13.86,13.56,503.8,on,on,334,On track — no action needed,none,True
2026-01-01T03:10:00,maitri,-2.99,5.72,False,online,52.59,14.0,81.3,charging,163955.8,81.98,14.73,13.59,502.7,on,on,334,On track — no action needed,none,True
2026-01-01T03:15:00,maitri,-3.54,13.32,False,online,49.91,13.3,81.3,idle,163954.7,81.98,13.97,13.6,502.4,on,on,334,On track — no action needed,none,True
2026-01-01T03:20:00,maitri,-4.2,14.61,False,online,48.53,12.9,81.2,discharging,163953.5,81.98,13.59,13.6,502.4,on,on,334,On track — no action needed,none,True
2026-01-01T03:25:00,maitri,-4.08,11.15,False,online,52.56,14.0,81.2,idle,163952.3,81.98,14.72,13.63,501.4,on,on,334,On track — no action needed,none,True
2026-01-01T03:30:00,maitri,-4.56,9.17,False,online,47.83,12.8,81.2,idle,163951.2,81.98,13.39,13.62,501.6,on,on,334,On track — no action needed,none,True
2026-01-01T03:35:00,maitri,-4.75,4.42,False,online,51.81,13.8,81.1,discharging,163950.0,81.97,14.51,13.64,500.8,on,on,334,On track — no action needed,none,True
2026-01-01T03:40:00,maitri,-4.74,11.64,False,online,49.85,13.3,81.1,idle,163948.8,81.97,13.96,13.65,500.6,on,on,334,On track — no action needed,none,True
2026-01-01T03:45:00,maitri,-5.57,4.42,False,online,46.65,12.4,81.1,idle,163947.7,81.97,13.06,13.63,501.0,on,on,334,On track — no action needed,none,True
2026-01-01T03:50:00,maitri,-4.09,12.92,False,online,54.79,14.6,81.3,charging,163946.5,81.97,15.34,13.67,499.7,on,on,334,On track — no action needed,none,True
2026-01-01T03:55:00,maitri,-4.86,12.97,False,online,53.39,14.2,81.3,idle,163945.2,81.97,14.95,13.7,498.7,on,on,334,On track — no action needed,none,True
2026-01-01T04:00:00,maitri,-5.65,7.22,False,online,52.9,14.1,81.4,idle,163944.0,81.97,14.81,13.72,497.9,on,on,334,On track — no action needed,none,True
2026-01-01T04:05:00,maitri,-5.29,12.66,False,online,50.22,13.4,81.4,idle,163942.8,81.97,14.06,13.73,497.6,on,on,334,On track — no action needed,none,True
2026-01-01T04:10:00,maitri,-4.72,7.99,False,online,50.98,13.6,81.3,discharging,163941.6,81.97,14.28,13.74,497.2,on,on,334,On track — no action needed,none,True
2026-01-01T04:15:00,maitri,-4.97,12.32,False,online,50.61,13.5,81.2,discharging,163940.4,81.97,14.17,13.75,496.9,on,on,334,On track — no action needed,none,True
2026-01-01T04:20:00,maitri,-4.92,3.8,False,online,54.77,14.6,81.2,discharging,163939.2,81.97,15.34,13.78,495.8,on,on,334,On track — no action needed,none,True
2026-01-01T04:25:00,maitri,-4.14,7.83,False,online,48.71,13.0,81.1,idle,163938.0,81.97,13.64,13.77,495.9,on,on,334,On track — no action needed,none,True
2026-01-01T04:30:00,maitri,-3.86,2.06,False,online,51.28,13.7,81.1,idle,163936.8,81.97,14.36,13.78,495.6,on,on,334,On track — no action needed,none,True
